FIPS,pop,Property Values,Kirwan Opportunity Index,total_reviews,mean_rating,avg_sent,business_ct,log_reviews,log_business_ct,crime_ct,med_income,log_pop,log_crimes
500700,4109,85800,-0.629579,1999,4.292857142857143,0.27226899364992996,14,7.6004023345004,2.6390573296152584,184.0,44184,8.32093496888341,5.214935757608986
500800,2569,83100,-0.639033,177,4.4,0.2682079249571183,5,5.176149732573829,1.6094379124341003,61.0,31510,7.851271997109883,4.110873864173311
500900,3706,67500,-0.884419,1168,3.8200000000000003,0.1711864289882067,10,7.0630481633881725,2.302585092994046,125.0,20233,8.217708406845306,4.8283137373023015
501000,2945,74300,-0.696658,545,4.044444444444444,0.17666336340016986,9,6.300785794663244,2.1972245773362196,101.0,31951,7.987864096085687,4.61512051684126
501100,3328,75200,-1.356753,1387,4.24,0.2621887622136066,15,7.234898420314831,2.70805020110221,128.0,33189,8.1101268019411,4.852030263919617
501200,1609,56800,-1.12909,209,4.324999999999999,0.22203273403079601,4,5.342334251964811,1.3862943611198906,60.0,48393,7.3833681469923835,4.0943445622221
501400,3624,86400,-0.321899,7368,4.05,0.2340186595413821,42,8.904901577935142,3.7376696182833684,62.0,49012,8.19533366716287,4.127134385045092
501500,4056,85200,-0.398292,1825,4.171428571428572,0.1934124323568662,14,7.509335266016592,2.6390573296152584,134.0,37885,8.30795254527102,4.897839799950911
501600,1955,75800,-0.632116,4614,4.1000000000000005,0.27056832436597716,33,8.4368504387337,3.4965075614664802,57.0,43712,7.578145472419466,4.04305126783455
501700,2218,65700,-1.328054,6664,4.134375,0.2585569098150988,32,8.804475183846678,3.4657359027997265,51.0,30750,7.704361167910313,3.9318256327243257
501900,2490,98700,-0.827302,165,4.15,0.21818166903745848,4,5.10594547390058,1.3862943611198906,46.0,21304,7.820037989458753,3.828641396489095
502000,1858,58500,-1.031841,1536,4.345454545454545,0.25159457609710195,11,7.336936913707618,2.3978952727983707,37.0,34306,7.527255919373784,3.6109179126442243
503200,3002,69100,-0.914727,4028,4.136,0.29127942301958604,25,8.301025253838453,3.2188758248682006,121.0,54091,8.007034012193408,4.795790545596741
503300,3407,65900,-0.833442,1338,3.933333333333333,0.1522115046137164,9,7.198931240688173,2.1972245773362196,150.0,38917,8.133587417660966,5.0106352940962555
503400,886,61800,-0.642034,3731,4.082352941176471,0.1847245102264618,17,8.224431573221159,2.833213344056216,82.0,34784,6.786716950605081,4.406719247264253
503500,2709,69100,-1.292596,3511,4.047058823529412,0.20417519675952425,17,8.163656176168432,2.833213344056216,98.0,44717,7.904334842085095,4.584967478670572
503600,1476,63900,-0.982329,469,4.275,0.18027054796714004,4,6.150602768446279,1.3862943611198906,54.0,33531,7.297091005160418,3.9889840465642745
503900,1730,49400,-1.086985,2682,4.054545454545455,0.22002259885265074,11,7.894318063841624,2.3978952727983707,34.0,30326,7.455876687491824,3.5263605246161616
504000,1093,91100,-0.849255,70,3.9499999999999997,0.15068341503267968,2,4.248495242049359,0.6931471805599453,29.0,33087,6.996681488176539,3.367295829986474
504100,1173,65900,-1.209391,1259,3.8545454545454545,0.15879968732853464,11,7.138073034044347,2.3978952727983707,83.0,35730,7.067319848653476,4.418840607796598
504200,1644,69400,-1.050306,2755,4.061538461538461,0.19399112432527588,13,7.9211727215870145,2.5649493574615367,53.0,44453,7.404887575616125,3.970291913552122
504300,1834,64200,-0.929081,540,4.1,0.22865228630831025,7,6.29156913955832,1.9459101490553132,81.0,33646,7.51425465281641,4.394449154672439
504400,1416,83200,-1.061096,317,4.225,0.1924684572424507,4,5.75890177387728,1.3862943611198906,64.0,20048,7.255591274253665,4.1588830833596715
505200,2943,78600,-1.012398,863,3.6374999999999997,0.11383556454298671,8,6.760414691083428,2.0794415416798357,68.0,37287,7.987184748233473,4.219507705176107
505400,1927,56200,-1.273659,2549,4.223529411764706,0.24519822329679777,17,7.8434564043761155,2.833213344056216,116.0,40777,7.563719668414366,4.7535901911063645
506100,1875,70900,-0.878444,3585,4.228571428571429,0.3185349003721112,21,8.184513753033722,3.044522437723423,59.0,28125,7.536363938404511,4.07753744390572
506200,1814,68600,-1.140022,2047,4.10625,0.22277317278051328,16,7.624130585661289,2.772588722239781,83.0,26492,7.503289630675082,4.418840607796598
506300,1860,60600,-0.88751,3585,4.220833333333333,0.250393620113778,24,8.184513753033722,3.1780538303479458,52.0,24327,7.528331766707247,3.9512437185814275
506400,842,48700,-0.998416,1022,3.9416666666666664,0.21112119012389285,12,6.92951677076365,2.4849066497880004,48.0,16454,6.7357800142423265,3.871201010907891
506500,1963,72700,-0.898234,547,4.325,0.24566399852670942,8,6.304448802421981,2.0794415416798357,42.0,39141,7.5822291942764615,3.7376696182833684
